test,symbol,period,horizon_bars,n,hit_rate,avg_ret,sharpe
btc_impulse_alt_lag,XRP/USDT,OOS,6,2,0.0,-0.02661583404032658,-2.082010735319619
btc_impulse_alt_lag,XRP/USDT,full,1,157,0.5477707006369427,0.0017803838431681817,0.06642000471258236
btc_impulse_alt_lag,XRP/USDT,full,3,157,0.5159235668789809,0.0020844841491625917,0.038711820191871825
btc_impulse_alt_lag,XRP/USDT,full,6,157,0.47770700636942676,9.372331195902327e-06,0.0001538245714466689
ethbtc_above_ma,XRP/USDT,IS,42,5585,0.45711727842435096,0.012480842771559642,0.0731858524276191
ethbtc_below_ma,XRP/USDT,IS,42,9816,0.49032192339038305,0.014067615401003633,0.09283541318766345
ethbtc_above_ma,XRP/USDT,OOS,42,1182,0.3392554991539763,-0.022308486189189944,-0.2736631019268923
ethbtc_below_ma,XRP/USDT,OOS,42,967,0.5222337125129266,0.013705155285782568,0.15862208327343305
ethbtc_above_ma,XRP/USDT,full,42,6767,0.43653022018619775,0.006404148988257438,0.04023361399058723
ethbtc_below_ma,XRP/USDT,full,42,10783,0.49318371510711306,0.014035110631327407,0.09555956061914217
alt_btc_rs_breakout,BNB/USDT,IS,6,936,0.5202991452991453,0.008660855201497616,0.12944261568866014
alt_btc_rs_breakout,BNB/USDT,IS,18,936,0.5363247863247863,0.01303401648140785,0.14117922385757195
alt_btc_rs_breakout,BNB/USDT,IS,42,936,0.48717948717948717,0.023513094685585656,0.14549884340936067
alt_btc_rs_breakout,BNB/USDT,OOS,6,123,0.4634146341463415,0.0003245881548998383,0.011457357753019719
alt_btc_rs_breakout,BNB/USDT,OOS,18,118,0.4406779661016949,-0.00911080485382952,-0.18034248101865924
alt_btc_rs_breakout,BNB/USDT,OOS,42,116,0.41379310344827586,-0.017485474860826036,-0.23151736732268322
alt_btc_rs_breakout,BNB/USDT,full,6,1059,0.5136921624173749,0.0076926202187483,0.12078807692024202
alt_btc_rs_breakout,BNB/USDT,full,18,1054,0.5256166982922201,0.010554804984673495,0.1187457347913459
alt_btc_rs_breakout,BNB/USDT,full,42,1052,0.4790874524714829,0.018992339868680947,0.12253779198386149
btc_impulse_alt_lag,BNB/USDT,IS,1,182,0.5604395604395604,0.0033611004984324603,0.12852552235916814
btc_impulse_alt_lag,BNB/USDT,IS,3,182,0.510989010989011,0.004194562607738256,0.13309619978284248
